file_name,file_size,product_no,status,letter,environment,image_w,image_h,product_no_len
1.jpg,21584.0,343938 013,Diagonal,Clear,Clear,134.0,36.0,10.0
2.jpg,21794.0,AV3133 001,Horizontal,Clear,Clear,152.0,34.0,10.0
3.jpg,21129.0,CJ3817 402,Horizontal,Clear,Clear,134.0,26.0,10.0
4.PNG,21290.0,EE8484,Diagonal,Clear,Clear,168.0,61.0,6.0
5.PNG,8242.0,190943 11,Horizontal,Clear,Clear,118.0,37.0,9.0
6.PNG,3665.0,162058C,Diagonal,Blur,Clear,67.0,21.0,7.0
7.PNG,3892.0,162058C,Diagonal,Blur,Clear,68.0,20.0,7.0
8.PNG,9066.0,V98CJ CHK,Diagonal,Clear,Clear,116.0,40.0,9.0
9.PNG,12391.0,3JM00740,Horizontal,Clear,Clear,146.0,41.0,8.0
10.PNG,7156.0,192294 02,Diagonal,Clear,Clear,109.0,28.0,9.0
11.PNG,17979.0,3GM01093,Diagonal,Clear,Clear,157.0,67.0,8.0
12.PNG,22649.0,1XM00998D,Diagonal,Clear,Clear,191.0,67.0,9.0
13.PNG,22399.0,FX4322,Diagonal,Clear,Clear,160.0,82.0,6.0
14.PNG,21226.0,FV0657,Horizontal,Clear,Clear,173.0,75.0,6.0
15.PNG,30700.0,DV6620,Diagonal,Clear,Clear,205.0,72.0,6.0
16.PNG,17150.0,FILARAY,Diagonal,Clear,Clear,186.0,59.0,7.0
19.PNG,27337.0,G57816,Diagonal,Clear,Clear,202.0,71.0,6.0
20.PNG,14625.0,1RM01153,Horizontal,Clear,Clear,157.0,46.0,8.0
21.PNG,19158.0,FW5287,Horizontal,Clear,Clear,168.0,61.0,6.0
22.PNG,11350.0,1RM01575D,Horizontal,Clear,Clear,160.0,41.0,9.0
26.PNG,6316.0,S00A5C0,Diagonal,Clear,Clear,103.0,27.0,7.0
27.PNG,14517.0,S00A6M0,Diagonal,Clear,Clear,97.0,58.0,7.0
28.PNG,18208.0,FS1SIZ3140X,Horizontal,Clear,Clear,201.0,56.0,11.0
29.PNG,22202.0,FX3922,Horizontal,Clear,Clear,162.0,79.0,6.0
30.PNG,21520.0,DV6619,Diagonal,Clear,Clear,188.0,66.0,6.0
32.PNG,14921.0,CN3702,Diagonal,Clear,Clear,137.0,63.0,6.0
33.PNG,10161.0,G54008,Horizontal,Clear,Clear,93.0,50.0,6.0
34.PNG,5122.0,370772 06,Horizontal,Clear,Clear,90.0,25.0,9.0
35.PNG,12241.0,SP0WW20X821,Horizontal,Clear,Clear,139.0,34.0,11.0
17.PNG,9747.0,S00A6M0,Diagonal,Clear,Clear,109.0,34.0,7.0
18.PNG,20018.0,VN0A2XSZW00,Diagonal,Clear,Clear,220.0,33.0,11.0
23.PNG,16058.0,FS1HTB1091X,Diagonal,Clear,Clear,213.0,56.0,11.0
24.PNG,13825.0,FS1HTB1091X,Diagonal,Clear,Clear,191.0,37.0,11.0
25.PNG,10555.0,DB2718,Diagonal,Clear,Clear,123.0,42.0,6.0
36.PNG,,373343 03,Diagonal,Clear,Clear,147.0,42.0,9.0
