file_name,file_size,product_no,status,letter,environment,image_w,image_h,product_no_len,image_type,file_path
1.jpg,21584.0,343938 013,Diagonal,Clear,Clear,134,36,10,collect,collect/1.jpg
2.jpg,21794.0,AV3133 001,Horizontal,Clear,Clear,152,34,10,collect,collect/2.jpg
3.jpg,21129.0,CJ3817 402,Horizontal,Clear,Clear,134,26,10,collect,collect/3.jpg
4.PNG,21290.0,EE8484,Diagonal,Clear,Clear,168,61,6,collect,collect/4.PNG
5.PNG,8242.0,190943 11,Horizontal,Clear,Clear,118,37,9,collect,collect/5.PNG
6.PNG,3665.0,162058C,Diagonal,Blur,Clear,67,21,7,collect,collect/6.PNG
7.PNG,3892.0,162058C,Diagonal,Blur,Clear,68,20,7,collect,collect/7.PNG
8.PNG,9066.0,V98CJ CHK,Diagonal,Clear,Clear,116,40,9,collect,collect/8.PNG
9.PNG,12391.0,3JM00740,Horizontal,Clear,Clear,146,41,8,collect,collect/9.PNG
10.PNG,7156.0,192294 02,Diagonal,Clear,Clear,109,28,9,collect,collect/10.PNG
11.PNG,17979.0,3GM01093,Diagonal,Clear,Clear,157,67,8,collect,collect/11.PNG
12.PNG,22649.0,1XM00998D,Diagonal,Clear,Clear,191,67,9,collect,collect/12.PNG
13.PNG,22399.0,FX4322,Diagonal,Clear,Clear,160,82,6,collect,collect/13.PNG
14.PNG,21226.0,FV0657,Horizontal,Clear,Clear,173,75,6,collect,collect/14.PNG
15.PNG,30700.0,DV6620,Diagonal,Clear,Clear,205,72,6,collect,collect/15.PNG
16.PNG,17150.0,FILARAY,Diagonal,Clear,Clear,186,59,7,collect,collect/16.PNG
19.PNG,27337.0,G57816,Diagonal,Clear,Clear,202,71,6,collect,collect/19.PNG
20.PNG,14625.0,1RM01153,Horizontal,Clear,Clear,157,46,8,collect,collect/20.PNG
21.PNG,19158.0,FW5287,Horizontal,Clear,Clear,168,61,6,collect,collect/21.PNG
22.PNG,11350.0,1RM01575D,Horizontal,Clear,Clear,160,41,9,collect,collect/22.PNG
26.PNG,6316.0,S00A5C0,Diagonal,Clear,Clear,103,27,7,collect,collect/26.PNG
27.PNG,14517.0,S00A6M0,Diagonal,Clear,Clear,97,58,7,collect,collect/27.PNG
28.PNG,18208.0,FS1SIZ3140X,Horizontal,Clear,Clear,201,56,11,collect,collect/28.PNG
29.PNG,22202.0,FX3922,Horizontal,Clear,Clear,162,79,6,collect,collect/29.PNG
30.PNG,21520.0,DV6619,Diagonal,Clear,Clear,188,66,6,collect,collect/30.PNG
32.PNG,14921.0,CN3702,Diagonal,Clear,Clear,137,63,6,collect,collect/32.PNG
33.PNG,10161.0,G54008,Horizontal,Clear,Clear,93,50,6,collect,collect/33.PNG
34.PNG,5122.0,370772 06,Horizontal,Clear,Clear,90,25,9,collect,collect/34.PNG
35.PNG,12241.0,SP0WW20X821,Horizontal,Clear,Clear,139,34,11,collect,collect/35.PNG
17.PNG,9747.0,S00A6M0,Diagonal,Clear,Clear,109,34,7,collect,collect/17.PNG
18.PNG,20018.0,VN0A2XSZW00,Diagonal,Clear,Clear,220,33,11,collect,collect/18.PNG
23.PNG,16058.0,FS1HTB1091X,Diagonal,Clear,Clear,213,56,11,collect,collect/23.PNG
24.PNG,13825.0,FS1HTB1091X,Diagonal,Clear,Clear,191,37,11,collect,collect/24.PNG
25.PNG,10555.0,DB2718,Diagonal,Clear,Clear,123,42,6,collect,collect/25.PNG
36.PNG,,373343 03,Diagonal,Clear,Clear,147,42,9,collect,collect/36.PNG
KakaoTalk_20211206_140911955_01.jpg,3056.0,S80783,Horizontal,Clear,Clear,117,61,6,collect,collect/KakaoTalk_20211206_140911955_01.jpg
KakaoTalk_20211206_140911955_02.jpg,6515.0,M9160C,Horizontal,Blur,Clear,353,116,6,collect,collect/KakaoTalk_20211206_140911955_02.jpg
KakaoTalk_20211206_140911955_03.jpg,4064.0,M9160C,Horizontal,Clear,Clear,195,56,6,collect,collect/KakaoTalk_20211206_140911955_03.jpg
KakaoTalk_20211206_140911955_04.jpg,8354.0,M9160C,Horizontal,Clear,Clear,291,107,6,collect,collect/KakaoTalk_20211206_140911955_04.jpg
KakaoTalk_20211206_140911955_05.jpg,2273.0,B37846,Horizontal,Clear,Clear,151,48,6,collect,collect/KakaoTalk_20211206_140911955_05.jpg
KakaoTalk_20211206_140911955_06.jpg,3064.0,73-B7637,Horizontal,Clear,Clear,193,48,8,collect,collect/KakaoTalk_20211206_140911955_06.jpg
KakaoTalk_20211206_140911955_07.jpg,3087.0,LHE0401,Horizontal,Clear,Clear,121,48,7,collect,collect/KakaoTalk_20211206_140911955_07.jpg
KakaoTalk_20211206_140911955_08.jpg,3391.0,1SM01611D,Horizontal,Clear,Clear,178,68,9,collect,collect/KakaoTalk_20211206_140911955_08.jpg
KakaoTalk_20211206_140911955_08_1.jpg,3297.0,1SM01611D,Horizontal,Clear,Clear,172,63,9,collect,collect/KakaoTalk_20211206_140911955_08_1.jpg
KakaoTalk_20211206_140911955_11.jpg,4391.0,M9160C,Horizontal,Clear,Clear,252,81,6,collect,collect/KakaoTalk_20211206_140911955_11.jpg
KakaoTalk_20211206_140911955_12.jpg,2635.0,M9160C,Horizontal,Clear,Clear,113,50,6,collect,collect/KakaoTalk_20211206_140911955_12.jpg
KakaoTalk_20211206_140911955_13.jpg,5461.0,M9697C,Horizontal,Clear,Clear,128,80,6,collect,collect/KakaoTalk_20211206_140911955_13.jpg
KakaoTalk_20211206_140911955_14.jpg,11927.0,169880C,Horizontal,Clear,Clear,226,128,7,collect,collect/KakaoTalk_20211206_140911955_14.jpg
KakaoTalk_20211206_140911955_15.jpg,4556.0,M9160C,Horizontal,Clear,Clear,244,52,6,collect,collect/KakaoTalk_20211206_140911955_15.jpg
KakaoTalk_20211206_140911955_16.jpg,11014.0,FU8297,Horizontal,Clear,Clear,282,161,6,collect,collect/KakaoTalk_20211206_140911955_16.jpg
KakaoTalk_20211206_140911955_17.jpg,7740.0,FZ0387,Horizontal,Clear,Clear,254,131,6,collect,collect/KakaoTalk_20211206_140911955_17.jpg
KakaoTalk_20211206_140911955_18.jpg,8154.0,FZ0388,Horizontal,Clear,Clear,274,106,6,collect,collect/KakaoTalk_20211206_140911955_18.jpg
KakaoTalk_20211206_140911955_19.jpg,4895.0,VN-0EE3WHT,Horizontal,Clear,Clear,204,70,10,collect,collect/KakaoTalk_20211206_140911955_19.jpg
KakaoTalk_20211206_140911955_20.jpg,4046.0,VN-0EE3BKA,Horizontal,Clear,Clear,239,56,10,collect,collect/KakaoTalk_20211206_140911955_20.jpg
KakaoTalk_20211206_140911955_21.jpg,5321.0,GV7098,Horizontal,Clear,Clear,187,66,6,collect,collect/KakaoTalk_20211206_140911955_21.jpg
KakaoTalk_20211206_140911955_22.jpg,6592.0,RBKH05299,Horizontal,Clear,Clear,259,78,9,collect,collect/KakaoTalk_20211206_140911955_22.jpg
KakaoTalk_20211206_140911955_23.jpg,3654.0,1TM01393D,Horizontal,Clear,Clear,207,48,9,collect,collect/KakaoTalk_20211206_140911955_23.jpg
KakaoTalk_20211206_140911955_24.jpg,8674.0,372280 02,Horizontal,Clear,Clear,287,91,9,collect,collect/KakaoTalk_20211206_140911955_24.jpg
KakaoTalk_20211206_140911955_25.jpg,3514.0,1TM00652,Horizontal,Clear,Clear,197,60,8,collect,collect/KakaoTalk_20211206_140911955_25.jpg
