filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.png,76720,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""polygon"",""all_points_x"":[11,307,322,30],""all_points_y"":[82,0,27,120]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""product_no"":""380810-03"",""status"":""Diagonal"",""letter"":""Clear"",""environment"":""Clear""}"
1.png,76720,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""polygon"",""all_points_x"":[97,157,251,109],""all_points_y"":[23,0,-1,45]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
1.png,76720,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""polygon"",""all_points_x"":[245,320,321,255],""all_points_y"":[61,49,80,88]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
1.png,76720,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""polygon"",""all_points_x"":[173,317,320,240],""all_points_y"":[116,81,96,116]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
2.png,29943,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[9,305,301,9],""all_points_y"":[4,1,45,52]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""APE 779001"",""status"":""Horizontal"",""letter"":""Blur"",""environment"":""Clear""}"
3.jpg,8946,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[8,368,367,5],""all_points_y"":[1,37,87,51]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""CU4149-001"",""status"":""Diagonal"",""letter"":""Blur"",""environment"":""Shadow""}"
3.jpg,8946,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[3,253,8],""all_points_y"":[59,85,87]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
4.jpg,22142,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[5,512,517,5],""all_points_y"":[35,0,51,99]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""SN 232292 COLOR:BKLM"",""status"":""Diagonal"",""letter"":""Clear"",""environment"":""Reflection""}"
5.jpg,27725,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[4,625,639,11],""all_points_y"":[28,13,76,85]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""SN 149337 COLOR:WSL"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
6.jpg,20560,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[11,769,783,19],""all_points_y"":[32,4,64,83]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""DX-SHJ1-111(6)"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear\n""}"
8.jpg,8800,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[9,264,273,21],""all_points_y"":[19,4,55,69]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":"""",""product_no"":""374902-08"",""status"":""Diagonal"",""letter"":""Blur"",""environment"":""Clear""}"
